Time[us],ThreadID,UserComment1,UserComment2,val1,val2
1492.000000,20808,main,start,1486.000000,0.000000
28357.000000,9704,WorkerThread1,start,28356.000000,0.000000
28377.000000,9704,CriticalSection1 Wait,start,28377.000000,0.000000
28389.000000,9704,CriticalSection1 Wait,stop,28377.000000,11.000000
28403.000000,9704,CriticalSection1,start,28403.000000,0.000000
30516.000000,3432,WorkerThread2,start,30515.000000,0.000000
30554.000000,3432,CriticalSection2 Wait,start,30554.000000,0.000000
30564.000000,3432,CriticalSection2 Wait,stop,30554.000000,9.000000
30574.000000,3432,CriticalSection2,start,30574.000000,0.000000
34889.000000,9720,WorkerThread1,start,34889.000000,0.000000
34926.000000,9720,CriticalSection1 Wait,start,34926.000000,0.000000
44234.000000,19816,WorkerThread2,start,44233.000000,0.000000
44273.000000,19816,CriticalSection2 Wait,start,44272.000000,0.000000
61377.000000,9716,WorkerThread1,start,61376.000000,0.000000
61399.000000,9716,CriticalSection1 Wait,start,61399.000000,0.000000
69191.000000,9704,CriticalSection1,stop,28403.000000,40786.000000
69210.000000,9704,CriticalSection2 Wait,start,69210.000000,0.000000
69224.000000,9720,CriticalSection1 Wait,stop,34926.000000,34298.000000
69270.000000,9720,CriticalSection1,start,69270.000000,0.000000
77820.000000,17096,WorkerThread1,start,77819.000000,0.000000
77922.000000,17096,CriticalSection1 Wait,start,77922.000000,0.000000
87915.000000,19188,WorkerThread2,start,87915.000000,0.000000
87928.000000,19188,CriticalSection2 Wait,start,87927.000000,0.000000
88256.000000,9720,CriticalSection1,stop,69270.000000,18985.000000
88270.000000,9720,CriticalSection2 Wait,start,88270.000000,0.000000
88277.000000,9716,CriticalSection1 Wait,stop,61399.000000,26877.000000
88283.000000,9716,CriticalSection1,start,88283.000000,0.000000
93383.000000,3432,CriticalSection2,stop,30574.000000,62807.000000
93408.000000,19816,CriticalSection2 Wait,stop,44272.000000,49135.000000
93417.000000,19816,CriticalSection2,start,93417.000000,0.000000
98361.000000,3432,CriticalSection1 Wait,start,98360.000000,0.000000
104688.000000,9716,CriticalSection1,stop,88283.000000,16403.000000
104706.000000,9716,CriticalSection2 Wait,start,104706.000000,0.000000
104769.000000,17096,CriticalSection1 Wait,stop,77922.000000,26847.000000
104775.000000,17096,CriticalSection1,start,104775.000000,0.000000
122296.000000,17096,CriticalSection1,stop,104775.000000,17519.000000
122316.000000,17096,CriticalSection2 Wait,start,122316.000000,0.000000
122405.000000,3432,CriticalSection1 Wait,stop,98360.000000,24045.000000
122412.000000,3432,CriticalSection1,start,122412.000000,0.000000
122617.000000,19816,CriticalSection2,stop,93417.000000,29199.000000
122627.000000,19816,CriticalSection1 Wait,start,122627.000000,0.000000
122722.000000,9704,CriticalSection2 Wait,stop,69210.000000,53511.000000
122748.000000,9704,CriticalSection2,start,122748.000000,0.000000
140736.000000,3432,CriticalSection1,stop,122412.000000,18323.000000
140754.000000,3432,WorkerThread2,stop,30515.000000,110239.000000
147725.000000,19816,CriticalSection1 Wait,stop,122627.000000,18213.000000
147745.000000,19816,CriticalSection1,start,147745.000000,0.000000
159055.000000,9704,CriticalSection2,stop,122748.000000,36306.000000
159076.000000,9704,WorkerThread1,stop,28356.000000,130719.000000
159092.000000,19188,CriticalSection2 Wait,stop,87927.000000,71163.000000
159104.000000,19188,CriticalSection2,start,159104.000000,0.000000
210750.000000,19816,CriticalSection1,stop,147745.000000,63003.000000
210765.000000,19816,WorkerThread2,stop,44233.000000,166532.000000
235683.000000,19188,CriticalSection2,stop,159104.000000,76577.000000
235807.000000,9720,CriticalSection2 Wait,stop,88270.000000,147536.000000
235820.000000,9720,CriticalSection2,start,235820.000000,0.000000
237517.000000,19188,CriticalSection1 Wait,start,237516.000000,0.000000
237532.000000,19188,CriticalSection1 Wait,stop,237516.000000,16.000000
237540.000000,19188,CriticalSection1,start,237540.000000,0.000000
262674.000000,9720,CriticalSection2,stop,235820.000000,26851.000000
262693.000000,9720,WorkerThread1,stop,34889.000000,227804.000000
262704.000000,9716,CriticalSection2 Wait,stop,104706.000000,157997.000000
262859.000000,9716,CriticalSection2,start,262859.000000,0.000000
262702.000000,19188,CriticalSection1,stop,237540.000000,25161.000000
262875.000000,19188,WorkerThread2,stop,87915.000000,174960.000000
291128.000000,9716,CriticalSection2,stop,262859.000000,28267.000000
291147.000000,9716,WorkerThread1,stop,61376.000000,229771.000000
291198.000000,17096,CriticalSection2 Wait,stop,122316.000000,168881.000000
291210.000000,17096,CriticalSection2,start,291210.000000,0.000000
340901.000000,17096,CriticalSection2,stop,291210.000000,49689.000000
340919.000000,17096,WorkerThread1,stop,77819.000000,263100.000000
348453.000000,20808,main,stop,1486.000000,346964.000000
